100 20
0 1 380.93
0 2 489.29
0 3 241.22
0 4 442.10
0 5 466.77
0 6 395.09
0 7 575.62
0 8 664.57
0 9 588.96
0 10 349.68
0 11 439.97
0 12 106.78
0 13 412.39
0 14 953.48
0 15 77.13
0 16 550.12
0 17 653.56
0 18 550.39
0 19 268.63
0 20 880.41
0 21 436.54
0 22 222.66
0 23 817.28
0 24 828.70
0 25 353.68
0 26 440.81
0 27 574.09
0 28 585.48
0 29 979.05
0 30 315.01
0 31 256.24
0 32 397.87
0 33 90.45
0 34 887.13
0 35 874.45
0 36 658.09
0 37 835.83
0 38 505.29
0 39 187.82
0 40 999.73
0 41 824.93
0 42 300.99
0 43 564.91
0 44 498.83
0 45 270.44
0 46 380.06
0 47 579.63
0 48 409.38
0 49 880.18
0 50 612.67
0 51 689.67
0 52 455.35
0 53 505.73
0 54 516.27
0 55 322.80
0 56 529.32
0 57 366.93
0 58 182.85
0 59 194.50
0 60 999.81
0 61 329.27
0 62 308.89
0 63 299.20
0 64 862.81
0 65 460.89
0 66 291.95
0 67 142.10
0 68 653.39
0 69 936.65
0 70 83.16
0 71 946.35
0 72 899.02
0 73 547.70
0 74 94.07
0 75 88.74
0 76 297.60
0 77 503.22
0 78 605.43
0 79 720.04
0 80 614.47
0 81 888.54
0 82 341.12
0 83 692.19
0 84 689.21
0 85 791.70
0 86 701.73
0 87 279.65
0 88 11.91
0 89 994.53
0 90 745.35
0 91 768.40
0 92 17.79
0 93 986.43
0 94 926.20
0 95 418.06
0 96 163.83
0 97 318.69
0 98 790.11
0 99 266.20
1 2 454.96
1 3 439.10
1 4 280.52
1 5 644.36
1 6 974.25
1 7 632.40
1 8 585.95
1 9 635.37
1 10 892.05
1 11 703.95
1 12 682.30
1 13 267.59
1 14 703.60
1 15 421.51
1 16 349.82
1 17 21.22
1 18 526.06
1 19 926.07
1 20 565.25
1 21 267.14
1 22 585.77
1 23 783.68
1 24 672.14
1 25 620.32
1 26 913.45
1 27 69.37
1 28 758.83
1 29 815.39
1 30 910.25
1 31 520.83
1 32 323.23
1 33 996.18
1 34 65.51
1 35 652.36
1 36 201.53
1 37 349.15
1 38 485.88
1 39 795.23
1 40 972.03
1 41 73.20
1 42 95.33
