30 20
2 5 3
2 9 7
2 11 2
2 12 1
2 19 8
2 32 3
2 34 5
2 35 6
2 37 8
2 38 9
2 39 10
2 41 5
2 48 10
2 50 7
2 61 7
2 63 7
2 66 10
2 69 13
2 72 7
2 73 8
2 77 12
2 81 9
2 85 11
2 86 12
2 90 11
2 91 10
2 94 11
2 97 14
2 99 16
5 9 4
5 11 5
5 12 4
5 19 5
5 32 6
5 34 4
5 35 3
5 37 5
5 38 6
5 39 7
5 41 8
5 48 7
5 50 10
5 61 10
5 63 8
5 66 7
5 69 10
5 72 10
5 73 9
5 77 9
5 81 12
5 85 8
5 86 9
5 90 14
5 91 13
5 94 10
5 97 11
5 99 13
9 11 9
9 12 8
9 19 1
9 32 10
9 34 8
9 35 7
9 37 5
9 38 4
9 39 3
9 41 12
9 48 5
9 50 14
9 61 14
9 63 12
9 66 9
9 69 6
9 72 14
9 73 13
9 77 9
9 81 16
9 85 12
9 86 11
9 90 18
9 91 17
9 94 14
9 97 11
9 99 9
11 12 1
11 19 8
11 32 3
11 34 5
11 35 6
11 37 8
11 38 9
11 39 10
11 41 3
11 48 10
11 50 5
11 61 5
11 63 7
11 66 10
11 69 13
11 72 7
11 73 8
11 77 12
11 81 7
11 85 11
11 86 12
11 90 9
11 91 8
11 94 11
11 97 14
11 99 16
12 19 7
12 32 2
12 34 4
12 35 5
12 37 7
12 38 8
12 39 9
12 41 4
12 48 9
12 50 6
12 61 6
12 63 6
12 66 9
12 69 12
12 72 6
12 73 7
12 77 11
12 81 8
12 85 10
12 86 11
12 90 10
12 91 9
12 94 10
12 97 13
12 99 15
19 32 9
19 34 7
19 35 6
19 37 4
19 38 3
19 39 2
19 41 11
19 48 4
19 50 13
19 61 13
19 63 11
19 66 8
19 69 5
19 72 13
19 73 12
19 77 8
19 81 15
19 85 11
19 86 10
19 90 17
19 91 16
19 94 13
19 97 10
19 99 8
32 34 2
32 35 3
32 37 5
32 38 6
32 39 7
32 41 2
32 48 7
32 50 4
32 61 4
32 63 4
32 66 7
32 69 10
32 72 4
32 73 5
32 77 9
32 81 6
32 85 8
32 86 9
32 90 8
32 91 7
32 94 8
32 97 11
32 99 13
34 35 1
34 37 3
34 38 4
34 39 5
34 41 4
34 48 5
34 50 6
34 61 6
34 63 4
34 66 5
34 69 8
34 72 6
34 73 5
34 77 7
34 81 8
34 85 6
34 86 7
34 90 10
34 91 9
34 94 6
34 97 9
34 99 11
35 37 2
35 38 3
35 39 4
35 41 5
35 48 4
35 50 7
35 61 7
35 63 5
35 66 4
35 69 7
35 72 7
35 73 6
35 77 6
35 81 9
35 85 5
35 86 6
35 90 11
35 91 10
35 94 7
35 97 8
35 99 10
37 38 1
37 39 2
37 41 7
37 48 2
37 50 9
37 61 9
37 63 7
37 66 4
37 69 5
37 72 9
37 73 8
37 77 4
37 81 11
37 85 7
37 86 6
37 90 13
37 91 12
37 94 9
37 97 6
37 99 8
38 39 1
38 41 8
38 48 1
38 50 10
38 61 10
38 63 8
38 66 5
38 69 4
38 72 10
38 73 9
38 77 5
38 81 12
38 85 8
38 86 7
38 90 14
38 91 13
38 94 10
38 97 7
38 99 7
39 41 9
39 48 2
39 50 11
39 61 11
39 63 9
39 66 6
39 69 3
39 72 11
39 73 10
39 77 6
39 81 13
39 85 9
39 86 8
39 90 15
39 91 14
39 94 11
39 97 8
39 99 6
41 48 7
41 50 2
41 61 2
41 63 4
41 66 7
41 69 10
41 72 4
41 73 5
41 77 9
41 81 4
41 85 8
41 86 9
41 90 6
41 91 5
41 94 8
41 97 11
41 99 13
48 50 9
48 61 9
48 63 7
48 66 4
48 69 3
48 72 9
48 73 8
48 77 4
48 81 11
48 85 7
48 86 6
48 90 13
48 91 12
48 94 9
48 97 6
48 99 6
50 61 2
50 63 4
50 66 7
50 69 10
50 72 4
50 73 5
50 77 9
50 81 4
50 85 8
50 86 9
50 90 4
50 91 5
50 94 8
50 97 11
50 99 13
61 63 2
61 66 5
61 69 8
61 72 2
61 73 3
61 77 7
61 81 2
61 85 6
61 86 7
61 90 4
61 91 3
61 94 6
61 97 9
61 99 11
63 66 3
63 69 6
63 72 2
63 73 1
63 77 5
63 81 4
63 85 4
63 86 5
63 90 6
63 91 5
63 94 4
63 97 7
63 99 9
66 69 3
66 72 5
66 73 4
66 77 2
66 81 7
66 85 3
66 86 2
66 90 9
66 91 8
66 94 5
66 97 4
66 99 6
69 72 8
69 73 7
69 77 3
69 81 10
69 85 6
69 86 5
69 90 12
69 91 11
69 94 8
69 97 5
69 99 3
72 73 1
72 77 5
72 81 2
